Product Link,Product Name,Image Links
https://polycab.com/products/fans/wall/elanza-pw01/,ELANZA PW01,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2019/05/Elanza-PW01-Wall-Fan-2.png
https://polycab.com/products/fans/wall/thunderstorm/,THUNDERSTORM,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2019/02/Thunder-Storm-Wall-Fan-copy.png
https://polycab.com/products/fans/wall/unicorn/,UNICORN,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2019/05/Unicorn-Wall-Fan-2.png
https://polycab.com/products/fans/wall/fantasy-delux/,FANTASY DELUX,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2019/05/Fantasy-Wall-Fan-1.png
https://polycab.com/products/fans/wall/eliana/,ELIANA,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2020/07/Eliana-Wall-2.png
https://polycab.com/products/fans/wall/thunderstorm-300mm,Thunderstorm 300 MM,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2019/02/Thunderstorm_-Blue-2.png
https://polycab.com/products/fans/wall/aery-wall/,Aery,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/11/Wall-Fans-Aery-500500-%E2%80%93-1.png
https://polycab.com/products/fans/wall/aspire-wall/,ASPIRE,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/11/Aspire-wall-fan-1.png
https://polycab.com/products/fans/wall/amaze-wall/,Amaze,https://cdn-aicml.nitrocdn.com/ylLBhdlUrSOVkOEPLndHLPoYKQhtuKqI/assets/static/optimized/rev-ddd1a50/wp-content/uploads/2021/11/Amaze-green-Wall-Fans-500500-%E2%80%93-3.png
